time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2005-01-02,20.8,17.8,23.9,8.1,0.0,,11.4,,1019.5,0.0
2005-01-09,13.7,1.1,25.6,6.1,0.0,,9.0,,1022.0,0.0
2005-01-16,13.7,-1.1,26.1,0.0,0.0,325.2,11.8,,1022.2,0.0
2005-01-23,10.5,-1.7,23.3,0.0,0.0,,7.3,,1027.2,0.0
2005-01-30,11.1,0.0,26.7,40.3,0.0,,8.0,,1019.9,0.0
2005-02-06,8.5,2.2,20.6,19.3,0.0,,10.1,,1024.5,0.0
2005-02-13,12.6,5.0,25.6,11.0,0.0,,7.2,,1023.6,0.0
2005-02-20,16.0,7.2,27.8,3.8,0.0,,8.3,,1020.6,0.0
2005-02-27,15.2,6.1,26.7,24.7,0.0,,9.0,,1016.9,0.0
2005-03-06,13.3,6.7,20.0,37.9,0.0,,6.2,,1019.0,0.0
2005-03-13,17.9,5.0,29.4,1.3,0.0,337.4,9.7,,1014.3,0.0
2005-03-20,13.7,2.8,25.6,8.7,0.0,337.9,11.1,,1014.0,0.0
2005-03-27,17.2,6.1,27.8,47.0,0.0,,11.1,,1011.6,0.0
2005-04-03,18.1,3.9,29.4,14.5,0.0,,8.8,,1013.6,0.0
2005-04-10,20.3,9.4,28.9,9.4,0.0,,13.0,,1010.9,0.0
2005-04-17,19.7,10.6,30.0,0.0,0.0,,8.3,,1018.0,0.0
2005-04-24,21.0,7.8,31.1,1.6,0.0,,10.2,,1020.8,0.0
2005-05-01,20.0,7.8,34.4,7.4,0.0,,11.7,,1015.4,0.0
2005-05-08,20.0,12.2,28.3,38.2,0.0,,10.1,,1019.8,0.0
2005-05-15,24.3,15.0,30.0,1.3,0.0,,11.5,,1015.9,0.0
2005-05-22,25.4,14.4,36.1,0.0,0.0,,8.2,,1011.6,0.0
2005-05-29,26.3,18.3,34.4,39.4,0.0,,8.5,,1011.5,0.0
2005-06-05,26.4,17.8,33.9,23.4,0.0,,9.3,,1008.0,0.0
2005-06-12,29.2,23.3,34.4,0.0,0.0,,13.0,,1009.9,6.7
2005-06-19,29.3,22.8,36.1,0.0,0.0,,8.3,,1011.3,0.0
2005-06-26,28.3,19.4,35.6,0.0,0.0,,6.3,,1015.7,0.0
2005-07-03,30.6,22.2,38.9,0.0,0.0,,8.8,,1012.1,0.0
2005-07-10,30.3,20.6,40.0,6.4,0.0,,6.9,,1012.2,0.0
2005-07-17,29.2,21.1,38.3,43.7,0.0,,6.0,,1013.0,0.0
2005-07-24,29.4,23.9,36.1,14.0,0.0,,6.5,,1016.4,0.0
2005-07-31,28.8,21.1,36.7,5.8,0.0,,6.0,,1016.4,0.0
2005-08-07,28.2,20.0,36.7,31.5,0.0,,5.3,,1015.2,0.0
2005-08-14,27.5,21.1,36.1,30.3,0.0,,10.3,,1013.9,0.0
2005-08-21,29.3,23.9,37.8,0.3,0.0,,8.8,,1016.4,0.0
2005-08-28,30.6,23.3,38.9,0.0,0.0,,6.9,,1011.1,0.0
2005-09-04,29.1,21.1,38.9,0.5,0.0,,5.8,,1012.5,0.0
2005-09-11,27.2,20.6,36.7,20.6,0.0,,6.1,,1016.6,0.0
2005-09-18,28.2,22.2,36.1,15.5,0.0,,9.8,,1014.0,0.0
2005-09-25,30.1,21.1,41.7,0.0,0.0,,7.2,,1010.6,0.0
2005-10-02,28.6,21.1,41.7,0.0,0.0,,8.1,,1013.3,0.0
2005-10-09,22.2,11.1,35.0,3.1,0.0,,8.7,,1013.9,0.0
2005-10-16,21.8,15.0,31.1,30.8,0.0,,5.0,,1017.0,0.0
2005-10-23,22.1,10.0,33.3,0.0,0.0,,7.1,,1014.9,0.0
2005-10-30,16.1,5.6,27.8,0.0,0.0,,6.8,,1022.9,0.0
2005-11-06,19.2,6.1,30.6,11.4,0.0,,8.7,,1019.5,0.0
2005-11-13,23.7,14.4,31.1,0.0,0.0,,8.3,,1018.1,0.0
2005-11-20,14.0,-0.6,28.9,0.0,0.0,,9.8,,1024.1,0.0
2005-11-27,16.9,3.9,30.6,8.4,0.0,,7.5,,1015.2,0.0
2005-12-04,13.0,1.1,27.8,0.0,0.0,,8.7,,1014.9,0.0
2005-12-11,5.3,-5.0,22.2,2.0,0.0,,8.7,,1026.8,0.0
2005-12-18,10.4,3.3,21.7,0.3,0.0,,6.4,,1021.0,0.0
2005-12-25,11.0,0.6,23.3,0.0,0.0,,7.1,,1023.0,0.0
2006-01-01,17.5,2.8,29.4,0.0,0.0,,7.9,,1010.6,0.0
2006-01-08,15.6,1.7,30.0,0.0,0.0,,9.1,,1019.4,0.0
2006-01-15,15.2,3.3,26.7,0.0,0.0,,11.0,,1017.9,0.0
2006-01-22,13.3,2.2,25.6,12.2,0.0,,12.4,,1019.9,0.0
2006-01-29,13.8,3.3,26.7,33.5,0.0,,8.2,,1023.3,0.0
2006-02-05,14.4,2.8,26.1,3.0,0.0,,9.0,,1014.6,0.0
2006-02-12,11.3,-1.7,23.3,3.8,0.0,,10.5,,1025.9,0.0
2006-02-19,10.6,-2.2,27.8,1.4,0.0,351.0,12.9,,1022.3,0.0
2006-02-26,11.2,1.1,20.6,14.6,0.0,351.0,6.3,,1021.9,0.0
2006-03-05,19.8,6.1,30.6,0.0,0.0,,9.8,,1018.7,0.0
2006-03-12,22.4,9.4,32.8,7.4,0.0,,13.3,,1007.3,0.0
2006-03-19,17.5,7.8,26.1,19.9,0.0,,9.6,,1014.9,0.0
2006-03-26,12.2,1.1,25.0,78.7,0.0,,11.4,,1022.2,0.0
2006-04-02,21.2,13.9,32.2,85.6,0.0,,10.8,,1015.5,0.0
2006-04-09,22.8,10.0,33.9,0.0,0.0,,11.4,,1013.4,0.0
2006-04-16,23.3,13.3,35.0,0.0,0.0,,12.5,,1013.7,0.0
2006-04-23,24.7,15.6,37.2,52.3,0.0,,9.9,,1010.6,0.0
2006-04-30,21.7,11.1,31.1,21.1,0.0,,10.7,,1014.4,0.0
2006-05-07,23.9,16.1,32.2,121.1,0.0,,10.7,,1011.9,0.0
2006-05-14,23.9,11.1,33.9,10.7,0.0,,9.5,,1011.0,0.0
2006-05-21,24.3,13.3,35.6,0.0,0.0,,8.9,,1014.5,0.0
2006-05-28,27.4,20.0,35.6,1.5,0.0,,13.1,,1010.7,0.0
2006-06-04,25.3,19.4,35.0,13.2,0.0,,6.9,,1013.4,0.0
2006-06-11,28.9,20.6,36.7,0.0,0.0,,8.4,,1011.7,0.0
2006-06-18,29.0,19.4,38.3,49.8,0.0,,10.0,,1012.8,0.0
2006-06-25,27.4,21.1,35.0,18.7,0.0,,8.2,,1015.3,0.0
