time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun, pm25
2013-12-29,8.9,-0.5,17.8,0.0,0.0,,4.7,,1026.9,0.0,30.0
2014-01-05,8.0,-2.1,21.7,0.0,0.0,,8.7,,1023.5,0.0,26.0
2014-01-12,10.5,-5.5,23.9,6.9,0.0,,6.6,,1027.3,0.0,29.571428571428573
2014-01-19,13.0,2.8,24.4,0.0,0.0,,7.0,,1022.2,0.0,28.714285714285715
2014-01-26,9.9,-3.2,27.8,2.8,0.0,,7.7,,1023.2,0.0,23.142857142857142
2014-02-02,9.5,-2.7,26.7,2.3,0.0,352.7,12.3,,1020.1,0.0,31.857142857142858
2014-02-09,4.8,-3.2,24.4,3.8,0.0,346.1,8.8,,1023.8,0.0,29.428571428571427
2014-02-16,10.7,0.0,30.0,2.5,0.0,,9.8,,1018.9,0.0,36.857142857142854
2014-02-23,19.4,5.0,30.0,0.0,0.0,,9.0,,1015.1,0.0,36.714285714285715
2014-03-02,12.3,-2.1,27.8,4.8,0.0,,9.5,,1020.6,0.0,34.857142857142854
2014-03-09,8.4,-4.3,19.4,27.9,0.0,,8.3,,1019.9,0.0,27.142857142857142
2014-03-16,15.7,2.8,28.3,2.1,0.0,189.9,9.8,,1017.8,0.0,34.714285714285715
2014-03-23,16.2,5.0,28.3,0.0,0.0,180.9,9.8,,1015.5,0.0,35.714285714285715
2014-03-30,17.4,6.7,31.7,0.3,0.0,,9.9,,1017.7,0.0,36.57142857142857
2014-04-06,19.8,11.1,30.0,5.1,0.0,,11.7,,1015.0,0.0,32.857142857142854
2014-04-13,19.8,7.2,30.6,6.9,0.0,,11.5,,1016.8,0.0,35.857142857142854
2014-04-20,16.4,3.9,25.6,35.8,0.0,,8.4,,1020.4,0.0,48.857142857142854
2014-04-27,24.0,15.0,35.6,0.3,0.0,,9.3,,1010.6,0.0,24.714285714285715
2014-05-04,22.2,11.1,34.4,0.0,0.0,,7.6,,1013.9,0.0,48.57142857142857
2014-05-11,24.3,15.6,33.9,1.5,0.0,,12.9,,1009.6,0.0,29.571428571428573
2014-05-18,20.6,7.8,30.0,89.7,0.0,182.9,11.2,,1018.3,0.0,32.57142857142857
2014-05-25,24.7,18.9,31.7,4.8,0.0,182.3,12.1,,1015.5,0.0,29.428571428571427
2014-06-01,24.3,17.2,34.4,84.1,0.0,,5.5,,1011.2,0.0,30.285714285714285
2014-06-08,27.4,22.8,33.3,0.0,0.0,,10.8,,1010.9,0.0,43.57142857142857
2014-06-15,27.0,17.8,34.4,51.8,0.0,,8.6,,1011.0,0.0,60.57142857142857
2014-06-22,27.9,23.9,33.3,0.8,0.0,,11.6,,1014.4,0.0,47.57142857142857
2014-06-29,27.1,20.0,35.0,25.7,0.0,,10.9,,1012.9,0.0,60.285714285714285
2014-07-06,27.9,20.6,36.1,1.8,0.0,,7.8,,1016.9,0.0,59.285714285714285
2014-07-13,29.0,21.7,37.8,0.0,0.0,,8.2,,1016.2,0.0,41.42857142857143
2014-07-20,27.1,21.1,38.3,137.7,0.0,,6.0,,1013.0,0.0,56.857142857142854
2014-07-27,29.8,23.3,36.7,2.3,0.0,,7.0,,1014.9,0.0,44.714285714285715
2014-08-03,28.4,20.0,37.2,0.0,0.0,,7.0,,1015.6,0.0,44.42857142857143
2014-08-10,30.5,22.2,38.9,0.0,0.0,,7.5,,1013.8,0.0,36.42857142857143
