,dt,temp,feels_like,pressure,humidity,temp_min,temp_max,speed,deg,gust,all,id,main,description,icon,0,1h
0,22-01-01 00:00:00,25.34,25.84,1002.0,73.0,24.01,26.32,0.89,36.0,2.24,20,801,Clouds,few clouds,02n,,
1,22-01-01 01:00:00,24.17,24.71,1003.0,79.0,22.9,25.46,1.34,77.0,3.13,1,800,Clear,clear sky,01n,,
2,22-01-01 02:00:00,23.35,23.88,1003.0,82.0,21.99,24.49,0.45,289.0,1.79,90,804,Clouds,overcast clouds,04n,,
3,22-01-01 03:00:00,23.17,23.79,1003.0,86.0,22.34,24.07,1.34,54.0,3.13,90,804,Clouds,overcast clouds,04n,,
4,22-01-01 04:00:00,23.29,23.95,1004.0,87.0,22.34,24.35,0.89,188.0,2.68,90,804,Clouds,overcast clouds,04n,,
5,22-01-01 05:00:00,23.25,23.93,1004.0,88.0,22.32,24.35,0.45,278.0,1.79,90,721,Haze,haze,50n,,
6,22-01-01 06:00:00,23.23,23.88,1003.0,87.0,22.34,24.35,0.45,177.0,2.68,90,804,Clouds,overcast clouds,04n,,
7,22-01-01 07:00:00,23.22,23.87,1003.0,87.0,22.32,24.25,1.79,134.0,4.47,90,721,Haze,haze,50n,,
8,22-01-01 08:00:00,23.08,23.69,1002.0,86.0,21.93,24.07,1.34,139.0,3.13,90,804,Clouds,overcast clouds,04n,,
9,22-01-01 09:00:00,23.02,23.6,1002.0,85.0,21.83,23.83,0.45,307.0,2.24,90,804,Clouds,overcast clouds,04n,,
10,22-01-01 10:00:00,22.81,23.37,1001.0,85.0,21.79,23.7,1.34,87.0,3.13,90,804,Clouds,overcast clouds,04n,,
11,22-01-01 11:00:00,22.58,23.14,1001.0,86.0,21.43,23.7,1.34,159.0,3.58,90,804,Clouds,overcast clouds,04n,,
12,22-01-01 12:00:00,22.17,22.74,1003.0,88.0,21.21,23.35,1.34,206.0,1.34,90,500,Rain,light rain,10n,,0.34
13,22-01-01 13:00:00,21.63,22.22,1002.0,91.0,20.32,22.9,0.45,163.0,1.79,90,701,Mist,mist,50n,,
14,22-01-01 14:00:00,21.48,22.06,1003.0,91.0,20.16,22.7,0.89,209.0,1.34,90,804,Clouds,overcast clouds,04d,,
15,22-01-01 15:00:00,21.91,22.53,1003.0,91.0,20.52,23.32,0.45,245.0,1.79,1,800,Clear,clear sky,01d,,
16,22-01-01 16:00:00,22.5,23.13,1004.0,89.0,21.27,24.01,1.34,206.0,2.24,20,801,Clouds,few clouds,02d,,
17,22-01-01 17:00:00,23.05,23.71,1004.0,88.0,21.83,24.62,1.34,272.0,4.02,40,802,Clouds,scattered clouds,03d,,
18,22-01-01 18:00:00,23.72,24.34,1004.0,84.0,22.54,25.46,0.89,225.0,2.24,1,800,Clear,clear sky,01d,,
19,22-01-01 19:00:00,24.28,24.72,1003.0,75.0,22.94,25.93,1.34,254.0,2.24,1,800,Clear,clear sky,01d,,
20,22-01-01 20:00:00,24.69,24.78,1004.0,60.0,23.12,26.4,0.45,347.0,1.79,1,800,Clear,clear sky,01d,,
21,22-01-01 21:00:00,24.79,24.79,1003.0,56.0,23.43,26.93,1.34,67.0,1.79,1,800,Clear,clear sky,01d,,
22,22-01-01 22:00:00,25.05,24.99,1003.0,53.0,23.45,27.52,1.34,67.0,1.79,100,804,Clouds,overcast clouds,04d,,
23,22-01-01 23:00:00,24.39,24.27,1003.0,53.0,22.68,26.48,1.79,90.0,2.68,1,800,Clear,clear sky,01d,,
24,22-01-02 00:00:00,21.6,21.38,1003.0,60.0,19.34,23.46,4.47,135.0,4.92,1,800,Clear,clear sky,01n,,
25,22-01-02 01:00:00,19.62,19.33,1004.0,65.0,16.8,21.95,3.13,114.0,4.47,1,800,Clear,clear sky,01n,,
26,22-01-02 02:00:00,18.12,17.84,1005.0,71.0,14.23,21.27,1.79,90.0,2.24,1,800,Clear,clear sky,01n,,
27,22-01-02 03:00:00,13.85,13.04,1007.0,67.0,8.04,19.32,4.92,74.0,7.15,1,800,Clear,clear sky,01n,,
28,22-01-02 04:00:00,8.51,6.93,1012.0,68.0,4.02,15.21,2.68,29.0,5.81,20,801,Clouds,few clouds,02n,,
29,22-01-02 05:00:00,4.19,0.79,1015.0,75.0,2.36,9.55,4.12,340.0,8.75,40,802,Clouds,scattered clouds,03n,,
30,22-01-02 06:00:00,2.66,-1.09,1016.0,75.0,0.16,5.12,4.12,340.0,11.32,90,804,Clouds,overcast clouds,04n,,
31,22-01-02 07:00:00,1.47,-2.77,1017.0,69.0,-0.58,3.46,4.47,293.0,10.28,90,804,Clouds,overcast clouds,04n,,
32,22-01-02 08:00:00,0.91,-2.87,1018.0,66.0,-1.21,2.81,3.58,293.0,8.94,90,211,Thunderstorm,thunderstorm,11n,,
33,22-01-02 09:00:00,-0.29,-4.33,1019.0,64.0,-2.06,1.32,3.58,293.0,7.15,75,211,Thunderstorm,thunderstorm,11n,,
34,22-01-02 10:00:00,-0.54,-5.27,1020.0,65.0,-2.24,1.19,4.47,293.0,7.15,29,802,Clouds,scattered clouds,03n,,
35,22-01-02 11:00:00,-1.24,-5.49,1021.0,65.0,-3.43,0.38,3.58,270.0,6.71,75,803,Clouds,broken clouds,04n,,
36,22-01-02 12:00:00,-2.87,-7.07,1023.0,65.0,-5.1,-0.99,3.13,293.0,6.26,75,803,Clouds,broken clouds,04n,,
37,22-01-02 13:00:00,-3.78,-7.18,1025.0,64.0,-5.45,-2.1,2.24,270.0,4.92,1,800,Clear,clear sky,01n,,
38,22-01-02 14:00:00,-3.96,-8.39,1026.0,63.0,-5.66,-2.4,3.13,270.0,7.6,1,800,Clear,clear sky,01d,,
39,22-01-02 15:00:00,-2.74,-6.92,1027.0,60.0,-4.35,-1.06,3.13,293.0,6.26,1,800,Clear,clear sky,01d,,
40,22-01-02 16:00:00,-0.74,-5.21,1028.0,55.0,-2.62,1.22,4.02,270.0,7.15,1,800,Clear,clear sky,01d,,
41,22-01-02 17:00:00,1.48,-2.48,1030.0,51.0,-0.16,3.08,4.02,270.0,7.6,1,800,Clear,clear sky,01d,,
42,22-01-02 18:00:00,3.69,0.83,1029.0,47.0,1.83,5.73,3.13,293.0,7.15,1,800,Clear,clear sky,01d,,
43,22-01-02 19:00:00,5.54,2.51,1028.0,43.0,3.98,7.4,4.02,270.0,8.49,0,800,Clear,clear sky,01d,,
44,22-01-02 20:00:00,6.88,3.93,1028.0,40.0,4.96,8.82,4.47,293.0,8.49,1,800,Clear,clear sky,01d,,
45,22-01-02 21:00:00,7.57,5.01,1029.0,38.0,5.98,9.07,4.02,315.0,8.05,1,800,Clear,clear sky,01d,,
46,22-01-02 22:00:00,7.76,5.47,1028.0,37.0,6.27,9.35,3.58,293.0,6.71,1,800,Clear,clear sky,01d,,
47,22-01-02 23:00:00,7.23,5.1,1029.0,38.0,6.01,8.43,3.13,315.0,5.81,1,800,Clear,clear sky,01d,,
48,22-01-03 00:00:00,5.84,4.56,1029.0,43.0,4.4,6.95,1.79,293.0,3.58,1,800,Clear,clear sky,01n,,
49,22-01-03 01:00:00,4.26,4.26,1029.0,48.0,2.01,6.02,0.89,293.0,1.79,1,800,Clear,clear sky,01n,,
