,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun, pm25, o3, no2, so2
0,2014-01-01,10.9,3.9,20.6,0.0,0.0,,6.1,,1020.2,0.0, 71, , , 
1,2014-01-02,6.8,0.6,12.8,0.0,0.0,,12.2,,1024.2,0.0, 17, , , 
2,2014-01-03,5.6,-2.1,14.4,0.0,0.0,,6.8,,1028.2,0.0, 26, , , 
3,2014-01-04,13.8,5.6,21.7,0.0,0.0,,10.4,,1014.6,0.0, 26, , , 
4,2014-01-05,8.2,1.1,15.0,0.0,0.0,,15.5,,1026.6,0.0, 10, , , 
5,2014-01-06,-1.3,-5.5,2.2,0.0,0.0,,10.8,,1038.5,0.0, 12, , , 
6,2014-01-07,2.2,-5.5,8.9,0.0,0.0,,7.6,,1034.2,0.0, 20, , , 
7,2014-01-08,8.4,4.4,11.7,4.1,0.0,,2.2,,1030.7,0.0, 24, , , 
8,2014-01-09,15.5,11.7,21.1,0.0,0.0,,4.7,,1027.2,0.0, 35, , , 
9,2014-01-10,18.7,13.9,22.2,2.5,0.0,,9.4,,1023.6,0.0, 19, , , 
10,2014-01-11,15.7,8.9,23.9,0.0,0.0,,5.0,,1020.1,0.0, 33, , , 
11,2014-01-12,14.2,7.8,19.4,0.3,0.0,,6.8,,1016.6,0.0, 39, , , 
12,2014-01-13,16.2,6.1,21.7,0.0,0.0,,10.8,,1016.4,0.0, 21, , , 
13,2014-01-14,13.2,2.8,24.4,0.0,0.0,,8.6,,1020.1,0.0, 22, , , 
14,2014-01-15,10.5,4.4,17.8,0.0,0.0,,7.2,,1027.2,0.0, 14, , , 
15,2014-01-16,13.2,4.4,22.2,0.0,0.0,,6.5,,1020.0,0.0, 25, , , 
16,2014-01-17,12.6,6.1,17.8,0.0,0.0,,7.6,,1025.5,0.0, 36, , , 
17,2014-01-18,11.5,2.8,21.1,0.0,0.0,,4.0,,1022.5,0.0, 56, , , 
18,2014-01-19,14.0,7.2,22.2,0.0,0.0,,4.3,,1023.4,0.0, 33, , , 
19,2014-01-20,17.3,7.8,27.8,0.0,0.0,,7.9,,1015.7,0.0, 34, , , 
20,2014-01-21,12.2,3.3,17.2,0.0,0.0,,9.4,,1026.3,0.0, 17, , , 
21,2014-01-22,11.4,2.8,21.1,0.0,0.0,,6.1,,1019.8,0.0, 29, , , 
22,2014-01-23,5.7,-2.7,13.3,1.5,0.0,,14.8,,1028.6,0.0, 24, , , 
23,2014-01-24,-0.4,-3.2,4.4,1.3,0.0,,7.9,,1037.3,0.0, 11, , , 
